# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,0,0,0
0,1,0,0,0,0
0,2,0,1.120993323334146e-11,1.256626030959733e-22,1
0,3,0,1.120993323334146e-11,1.256626030959733e-22,1
0,4,0,0,0,0
0,5,0,0,0,0
0,6,0,1.120993323334146e-11,1.256626030959733e-22,1
0,7,0,6.396383356284486e-10,3.950479195399627e-19,2
0,8,0,1.120993323334146e-11,1.256626030959733e-22,1
0,9,0,0,0,0
0,10,0,0,0,0
0,11,0,1.312236130658188e-11,1.721963662604773e-22,1
0,12,0,1.120993323334146e-11,1.256626030959733e-22,1
0,13,0,1.120993323334146e-11,1.256626030959733e-22,1
0,14,0,0,0,0
0,15,0,0,0,0
0,16,0,2.256866942543546e-11,2.546834909775595e-22,2
0,17,0,0,0,0
0,18,0,0,0,0
0,19,0,0,0,0
0,20,0,0,0,0
0,21,0,1.120993323334146e-11,1.256626030959733e-22,1
0,22,0,1.120993323334146e-11,1.256626030959733e-22,1
0,23,0,1.120993323334146e-11,1.256626030959733e-22,1
0,24,0,0,0,0
0,25,0,1.120993323334146e-11,1.256626030959733e-22,1
0,26,0,2.241986646668292e-11,2.513252061919466e-22,2
0,27,0,2.241986646668292e-11,2.513252061919466e-22,2
0,28,0,1.120993323334146e-11,1.256626030959733e-22,1
0,29,0,0,0,0
0,30,0,0,0,0
0,31,0,1.120993323334146e-11,1.256626030959733e-22,1
0,32,0,1.120993323334146e-11,1.256626030959733e-22,1
0,33,0,0,0,0
0,34,0,0,0,0
0,35,0,1.120993323334146e-11,1.256626030959733e-22,1
0,36,0,1.18033512602663e-11,1.260147480506527e-22,2
0,37,0,0,0,0
0,38,0,1.120993323334146e-11,1.256626030959733e-22,1
0,39,0,0,0,0
0,40,0,1.120993323334146e-11,1.256626030959733e-22,1
0,41,0,0,0,0
0,42,0,0,0,0
0,43,0,1.120993323334146e-11,1.256626030959733e-22,1
0,44,0,1.120993323334146e-11,1.256626030959733e-22,1
0,45,0,0,0,0
0,46,0,2.241986646668292e-11,2.513252061919466e-22,2
0,47,0,0,0,0
0,48,0,1.120993323334146e-11,1.256626030959733e-22,1
0,49,0,0,0,0
0,50,0,0,0,0
1,0,0,1.120993323334146e-11,1.256626030959733e-22,1
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
1,7,0,0,0,0
1,8,0,0,0,0
1,9,0,0,0,0
1,10,0,0,0,0
1,11,0,0,0,0
1,12,0,0,0,0
1,13,0,0,0,0
1,14,0,0,0,0
1,15,0,0,0,0
1,16,0,0,0,0
1,17,0,0,0,0
1,18,0,0,0,0
1,19,0,0,0,0
1,20,0,0,0,0
1,21,0,0,0,0
1,22,0,0,0,0
1,23,0,0,0,0
1,24,0,0,0,0
1,25,0,0,0,0
1,26,0,0,0,0
1,27,0,0,0,0
1,28,0,0,0,0
1,29,0,0,0,0
1,30,0,0,0,0
1,31,0,0,0,0
1,32,0,0,0,0
1,33,0,0,0,0
1,34,0,0,0,0
1,35,0,0,0,0
1,36,0,0,0,0
1,37,0,0,0,0
1,38,0,0,0,0
1,39,0,0,0,0
1,40,0,0,0,0
1,41,0,0,0,0
1,42,0,0,0,0
1,43,0,0,0,0
1,44,0,0,0,0
1,45,0,0,0,0
1,46,0,0,0,0
1,47,0,0,0,0
1,48,0,0,0,0
1,49,0,0,0,0
1,50,0,1.120993323334146e-11,1.256626030959733e-22,1
2,0,0,0,0,0
2,1,0,0,0,0
2,2,0,0,0,0
2,3,0,0,0,0
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
2,7,0,0,0,0
2,8,0,0,0,0
2,9,0,0,0,0
2,10,0,0,0,0
2,11,0,0,0,0
2,12,0,0,0,0
2,13,0,0,0,0
2,14,0,0,0,0
2,15,0,0,0,0
2,16,0,0,0,0
2,17,0,0,0,0
2,18,0,0,0,0
2,19,0,2.015784046329849e-11,4.063385321437939e-22,1
2,20,0,0,0,0
2,21,0,0,0,0
2,22,0,0,0,0
2,23,0,0,0,0
2,24,0,0,0,0
2,25,0,0,0,0
2,26,0,0,0,0
2,27,0,0,0,0
2,28,0,0,0,0
2,29,0,0,0,0
2,30,0,0,0,0
2,31,0,0,0,0
2,32,0,0,0,0
2,33,0,0,0,0
2,34,0,0,0,0
2,35,0,0,0,0
2,36,0,0,0,0
2,37,0,0,0,0
2,38,0,0,0,0
2,39,0,0,0,0
2,40,0,0,0,0
2,41,0,0,0,0
2,42,0,0,0,0
2,43,0,0,0,0
2,44,0,0,0,0
2,45,0,0,0,0
2,46,0,0,0,0
2,47,0,0,0,0
2,48,0,0,0,0
2,49,0,0,0,0
2,50,0,1.120993323334146e-11,1.256626030959733e-22,1
3,0,0,1.120993323334146e-11,1.256626030959733e-22,1
3,1,0,0,0,0
3,2,0,0,0,0
