# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,0.003279917455575453,6.357986809546976e-08,100000
0,0,1,0.001390814266903743,1.097123313326224e-08,99974
0,0,2,0.001273405744179944,6.783943402064979e-09,99929
0,0,3,0.001295270085276001,5.50791300912793e-09,99792
0,0,4,0.001745903346507111,7.538042865028501e-09,99262
0,0,5,0.002389519171043068,5.072569982954404e-09,97568
0,0,6,0.003587767721147547,5.217310855154044e-09,93011
0,0,7,0.004238859469569376,5.477817638205171e-09,84135
0,0,8,0.004073571463725678,4.353396977423567e-09,72385
0,0,9,0.003601482732772805,3.827639545054292e-09,60397
0,0,10,0.003042085532278779,3.751993976450076e-09,49272
0,0,11,0.00233617074583172,1.989505552672888e-09,39706
0,0,12,0.001852534899352885,1.225119505952754e-09,32015
0,0,13,0.001451300836587979,9.074953175661341e-10,25654
0,0,14,0.001106440545056563,6.32345667086867e-10,20601
0,0,15,0.000882634245650451,6.834649591458587e-10,16611
0,0,16,0.0007093869227955504,5.026959981606847e-10,13558
0,0,17,0.0005774205404759508,6.870705686190669e-10,11073
0,0,18,0.0004652390211729863,1.105052328590897e-09,9160
0,0,19,0.0003672971356683692,7.298208076416832e-11,7864
0,0,20,0.0003130224771586776,2.721085084514734e-10,6795
0,0,21,0.0002677687995846613,4.955785276757746e-11,5914
0,0,22,0.000219703643746047,3.91518133753161e-11,5112
0,0,23,0.0001842808620928762,3.166651090860133e-11,4501
0,0,24,0.0001653550370311238,2.71634098800012e-11,4065
0,0,25,0.0001362611518515682,2.15052639480321e-11,3579
0,0,26,0.000122362819550177,1.828862636164978e-11,3238
0,0,27,0.0001136538056459895,1.672835246437791e-11,2915
0,0,28,0.0001001381953537255,1.414976749242149e-11,2657
0,0,29,8.552355297428697e-05,1.150753576947114e-11,2394
0,0,30,8.211335189448109e-05,1.063309358110981e-11,2235
0,0,31,6.740383690369984e-05,8.127617433032844e-12,2041
0,0,32,6.411238740417004e-05,7.561302961905498e-12,1924
0,0,33,6.018081329231241e-05,6.895378129387384e-12,1728
0,0,34,5.233204995563527e-05,5.737822452473671e-12,1544
0,0,35,4.783014970958962e-05,5.036365014884596e-12,1385
0,0,36,3.771641514421847e-05,3.697502692162989e-12,1217
0,0,37,3.406624848293916e-05,3.087602049321391e-12,1110
0,0,38,3.016778877093074e-05,2.660296698679615e-12,992
0,0,39,2.576135205131631e-05,2.065361893195974e-12,883
0,0,40,2.22183253368621e-05,1.642971464670067e-12,778
0,0,41,1.81597958482908e-05,1.285359407746849e-12,686
0,0,42,1.461789767759083e-05,9.431742993332332e-13,588
0,0,43,1.341522344371779e-05,8.281277756605422e-13,507
0,0,44,8.456051063616936e-06,4.396624623534019e-13,407
0,0,45,7.449821661714898e-06,3.571690705687956e-13,363
0,0,46,6.516391078549715e-06,2.968108847827577e-13,317
0,0,47,4.413923783931716e-06,1.836305908024369e-13,235
0,0,48,3.202382669144358e-06,1.248412710550498e-13,181
0,0,49,1.872150182726513e-06,5.464340688268443e-14,141
0,0,50,1.63293395888719e-06,4.43564390888767e-14,125
0,0,51,1.064589619672924e-06,3.149610032848099e-14,76
0,0,52,7.901039524200361e-07,3.072125925730157e-14,62
0,0,53,6.202065298185974e-07,2.97429176118748e-14,41
0,0,54,3.366073404749833e-07,1.38924549898376e-14,31
0,0,55,1.395968330637195e-07,3.855558727030427e-15,15
0,0,56,9.627265115920098e-08,4.258402796029878e-15,11
0,0,57,1.222969284795484e-07,1.944639053776594e-15,20
0,0,58,5.479215777930453e-08,9.361451512776436e-16,11
0,0,59,3.964218694506574e-08,4.602277496249259e-16,12
0,0,60,2.342456846991834e-08,1.866101684198062e-16,13
0,0,61,1.801508425703215e-08,1.157509240270804e-16,14
0,0,62,1.491137258724823e-09,1.0753611276081e-18,8
0,0,63,5.084498974196945e-10,8.908263598239161e-20,6
0,0,64,3.953480624215263e-09,5.87322433439919e-18,10
0,0,65,8.602401318547934e-09,4.243811106565408e-17,5
0,0,66,1.688480727412571e-08,1.527362470050462e-16,6
0,0,67,1.203945585641431e-07,8.145634680287264e-15,11
0,0,68,1.419428100236625e-08,9.644231539199836e-17,6
0,0,69,4.211747366688844e-08,5.939681009560778e-16,8
0,0,70,7.743691882354287e-08,3.658340110327556e-15,5
0,0,71,2.92417390395632e-08,4.044854141665579e-16,5
0,0,72,1.790893689164311e-07,1.10325606620507e-14,8
0,0,73,5.097985035649593e-08,6.891945762267851e-16,6
0,0,74,1.651424555289796e-08,1.351509281916719e-16,4
0,0,75,3.28817113102005e-09,9.188904059803379e-18,5
0,0,76,8.109321761311712e-10,6.226508567358635e-19,3
0,0,77,1.859084466135228e-08,1.531564684844539e-16,6
0,0,78,3.922177109689574e-08,6.010341767417724e-16,5
0,0,79,1.615881540106984e-08,9.932268387330451e-17,6
0,0,80,1.008361235185217e-07,6.989201562720204e-15,6
0,0,81,5.305809944616982e-09,2.783411714990647e-17,3
0,0,82,6.983111433399365e-10,4.734933772795479e-19,2
0,0,83,2.505070651945665e-09,6.275378971239479e-18,1
0,0,84,6.001945168694549e-09,3.602334580801585e-17,1
0,0,85,4.352953696914599e-11,9.474102943741236e-22,2
0,0,86,5.692044975223985e-08,9.069458608817231e-16,7
0,0,87,5.772206862456951e-08,3.331455298365251e-15,2
0,0,88,1.772272367796634e-08,1.36696109322529e-16,5
0,0,89,4.917390409864745e-08,2.415933274436892e-15,2
0,0,90,9.094303415987526e-09,8.23114312155819e-17,2
0,0,91,1.40166732956018e-09,1.317116582004198e-18,2
0,0,92,1.764491516894328e-07,2.101121996737633e-14,5
0,0,93,1.361592777941711e-08,8.877805149534738e-17,3
