name, ekin_MeV, posX_mm, posY_mm, posZ_mm,momX, momY, momZ, process
e-,0.53979,0.0864569,-0.0106635,-38.0591,0.700941,0.426469,0.412119,eIoni
e-,1.00884,0.577271,-0.547989,-36.1379,-0.163929,-0.59305,1.29236,eIoni
e-,0.53979,0.0864569,-0.0106635,-38.0591,0.763411,0.464477,0.448848,eIoni
e-,1.00884,0.577271,-0.547989,-36.1379,-0.114527,-0.414327,0.902894,eIoni
e-,0.392727,0.478688,-0.687806,-35.8917,0.197078,-0.278572,0.662691,eIoni
e-,0.392727,0.478688,-0.687806,-35.8917,0.264396,-0.373729,0.889056,eIoni
e-,1.28289,-0.0854055,-0.614052,-45.9842,-1.09045,-0.3799,1.27418,eIoni
e-,1.28289,-0.0854055,-0.614052,-45.9842,-0.634139,-0.220927,0.740985,eIoni
e-,0.36022,-2.29422,-6.02907,-33.9649,0.541059,-0.119115,0.437,eIoni
gamma,0.00854683,-2.62427,-6.83589,-32.745,-0.00432401,-0.00127886,0.00726056,eBrem
e-,0.36022,-2.29422,-6.02907,-33.9649,0.766784,-0.168808,0.619311,eIoni
gamma,0.00854683,-2.62427,-6.83589,-32.745,-0.505919,-0.14963,0.849504,eBrem
e-,0.00800883,-2.63948,-6.84039,-32.7195,-0.0152115,-0.0877203,-0.0179696,phot
e-,0.00800883,-2.63948,-6.84039,-32.7195,-0.167482,-0.965819,-0.197849,phot
gamma,0.00304365,-1.30521,-2.1455,-34.9382,0.000424679,-0.000401912,0.00298696,eBrem
gamma,0.00304365,-1.30521,-2.1455,-34.9382,0.139529,-0.132049,0.981374,eBrem
e-,0.00250565,-1.28551,-2.16414,-34.7997,0.0427713,-0.0271319,-0.00123372,phot
e-,0.00250565,-1.28551,-2.16414,-34.7997,0.844181,-0.535505,-0.02435,phot
e-,0.374602,3.76975,-0.860136,-32.8571,0.581645,0.213937,0.372945,eIoni
gamma,0.110871,0.721974,-2.39646,-25.2612,0.0237377,-0.0520206,-0.0949884,eBrem
e-,0.374602,3.76975,-0.860136,-32.8571,0.804151,0.295777,0.515614,eIoni
gamma,0.110871,0.721974,-2.39646,-25.2612,0.214101,-0.469199,-0.856746,eBrem
e-,0.0299732,6.74376,-15.5931,-49.3579,-0.0135097,-0.0640658,-0.165057,compt
e-,0.00953682,15.0128,-13.0244,-33.8558,0.0333468,-0.0492094,0.0793976,compt
e-,0.00880991,19.7118,43.4347,-38.3739,-0.0473253,0.078681,0.0255135,compt
e-,0.0299732,6.74376,-15.5931,-49.3579,-0.0760813,-0.360793,-0.929537,compt
e-,0.00953682,15.0128,-13.0244,-33.8558,0.33621,-0.49614,0.800504,compt
e-,0.00880991,19.7118,43.4347,-38.3739,-0.496614,0.825649,0.267729,compt
gamma,0.0668041,-0.0452526,0.6985,-44.4239,0.00111802,0.0125774,0.0656,eBrem
gamma,0.600918,-0.156433,-0.218898,-36.3942,-0.134432,-0.258801,0.525407,eBrem
