name,ekin_MeV,posX_mm,posY_mm,posZ_mm,momX,momY,momZ,process
e-,0.53979,0.0864569,-0.0106635,-38.0591,0.763411,0.464477,0.448848,eIoni
e-,1.00884,0.577271,-0.547989,-36.1379,-0.114527,-0.414327,0.902894,eIoni
e-,0.392727,0.478688,-0.687806,-35.8917,0.264396,-0.373729,0.889056,eIoni
e-,1.28289,-0.0854055,-0.614052,-45.9842,-0.634139,-0.220927,0.740985,eIoni
e-,0.36022,-2.29422,-6.02907,-33.9649,0.766784,-0.168808,0.619311,eIoni
gamma,0.00854683,-2.62427,-6.83589,-32.745,-0.505919,-0.14963,0.849504,eBrem
e-,0.00800883,-2.63948,-6.84039,-32.7195,-0.167482,-0.965819,-0.197849,phot
gamma,0.00304365,-1.30521,-2.1455,-34.9382,0.139529,-0.132049,0.981374,eBrem
e-,0.00250565,-1.28551,-2.16414,-34.7997,0.844181,-0.535505,-0.02435,phot
e-,0.374602,3.76975,-0.860136,-32.8571,0.804151,0.295777,0.515614,eIoni
gamma,0.110871,0.721974,-2.39646,-25.2612,0.214101,-0.469199,-0.856746,eBrem
e-,0.0299732,6.74376,-15.5931,-49.3579,-0.0760813,-0.360793,-0.929537,compt
e-,0.00953682,15.0128,-13.0244,-33.8558,0.33621,-0.49614,0.800504,compt
e-,0.00880991,19.7118,43.4347,-38.3739,-0.496614,0.825649,0.267729,compt
gamma,0.0668041,-0.0452526,0.6985,-44.4239,0.0167359,0.188272,0.981974,eBrem
gamma,0.600918,-0.156433,-0.218898,-36.3942,-0.223711,-0.430675,0.874341,eBrem
e-,0.0122845,0.399708,5.70414,-18.3159,0.399484,0.358659,0.843668,compt
e-,0.0140178,-2.19339,3.79847,-20.2828,-0.724911,-0.62612,-0.287191,compt
e-,0.00426621,27.1826,21.7156,-4.93675,0.559396,0.387171,0.732922,compt
gamma,0.00823805,0.615197,0.275085,-45.7981,0.210261,0.00779784,0.977614,eBrem
e-,0.568471,8.90514,5.06244,-36.0269,0.152632,0.599001,0.786067,eIoni
gamma,1.24477,11.5295,9.59249,-36.3799,0.422784,0.89825,-0.120002,eBrem
e-,0.00770005,1.42894,0.305263,-42.0146,0.452652,-0.235703,-0.859971,phot
gamma,0.265873,-0.168272,0.0416428,-46.3547,-0.38164,0.24868,0.89023,eBrem
e-,1.64259,-3.11742,-2.80348,-37.9165,-0.369201,-0.728097,0.577551,eIoni
e-,0.0231842,-5.62172,3.59516,-33.6337,0.68901,-0.0274627,0.724231,compt
e-,0.110872,-7.08974,4.05983,-32.8371,-0.69253,0.304812,0.653829,compt
e-,0.389475,4.63236,-9.23853,-32.4122,-0.542949,0.200393,0.815505,eIoni
gamma,0.0236352,4.31621,-3.71448,-31.6162,-0.150814,-0.353409,0.923232,eBrem
e-,0.0230972,1.8713,-7.0711,-15.277,-0.719211,0.677111,0.155742,phot
e-,0.00189367,-0.0353297,-0.0793621,-81.0198,0.64467,-0.760329,0.0793803,eIoni
gamma,0.199507,-1.93515,-0.0933285,-34.9426,0.347346,0.432137,0.832231,eBrem
e-,0.0542182,9.89252,14.6216,-6.60381,0.798792,0.520912,0.300969,compt
e-,0.0246872,-3.14097,9.17351,4.07022,-0.846975,-0.512131,-0.14267,compt
e-,0.00250316,4.85799,19.4149,33.9967,-0.241168,-0.763094,0.599604,compt
e-,0.00206004,0.00845535,0.023729,-65.5021,-0.0808673,-0.993545,0.0795545,eIoni
e-,2.0384,-0.000234567,0.312515,-47.8014,0.248619,0.253271,0.934902,eIoni
e-,0.43104,0.363243,1.04655,-42.8158,-0.263304,-0.797596,0.54269,eIoni
e-,1.84047,-0.0292806,0.0726772,-42.8259,0.292149,-0.18651,0.93801,eIoni
e-,0.651574,0.158127,0.23699,-46.5221,-0.742656,0.21385,0.63461,eIoni
gamma,0.0881296,3.30727,2.3785,-41.5906,0.377924,0.417544,0.826336,eBrem
gamma,0.0257488,6.27736,7.99847,-37.0953,0.442853,0.877925,0.182015,eBrem
e-,0.520696,6.93851,13.2062,-33.9518,-0.644946,0.760675,0.0736124,eIoni
e-,0.0053101,8.73466,8.37487,-29.7236,0.598474,0.800966,-0.0167974,compt
e-,0.019615,3.32945,-4.02745,3.34868,-0.00889733,-0.397556,0.917535,compt
e-,0.000731743,-2.84817,11.9377,-29.1129,-0.202554,-0.555289,-0.806614,compt
e-,0.721061,0.79946,0.359675,-42.3549,-0.225139,0.720509,0.655881,eIoni
gamma,0.0284012,10.2381,5.07276,-32.2062,0.73501,0.259893,-0.626272,eBrem
gamma,0.232691,11.3091,6.68257,-33.4132,-0.672808,0.582534,0.456053,eBrem
e-,0.0746776,5.42675,11.7756,-29.426,-0.877385,0.475208,-0.0661267,compt
e-,0.0134789,39.8775,11.6253,15.7438,0.716484,-0.656665,0.235461,compt
